Disease_Name,Specialty,Description,Causes,Risk_Factors,Symptoms,Emergency_Signs,Diagnosis,Treatment,Complications,Prevention,References,Last_Updated
Hypertension,Cardiology,"Hypertension is a chronic condition in which blood pressure remains consistently elevated, increasing the risk of cardiovascular disease.","Genetics, high salt intake, obesity, lack of exercise, kidney disease, hormonal disorders","Age over 40, family history, obesity, diabetes, smoking, high sodium diet","Headache, dizziness, blurred vision, chest pain, shortness of breath, nosebleeds","Hypertensive emergency, severe chest pain, confusion, vision loss, difficulty breathing","Repeated blood pressure measurements, physical examination, blood tests, ECG, kidney function tests","Lifestyle modification, low-salt diet, regular exercise, weight loss, antihypertensive medications","Heart attack, stroke, heart failure, kidney disease, vision loss","Healthy diet, regular exercise, maintaining healthy weight, avoiding tobacco, limiting alcohol","WHO Hypertension Guideline 2021; NICE Hypertension Guideline 2019","2026-07-21"
Diabetes Mellitus,Endocrinology,"Diabetes mellitus is a chronic metabolic disorder characterized by elevated blood glucose levels due to insufficient insulin production, insulin resistance, or both.","Autoimmune destruction of pancreatic beta cells, insulin resistance, obesity, genetic factors","Family history, obesity, physical inactivity, unhealthy diet, age over 45, hypertension","Frequent urination, excessive thirst, increased hunger, fatigue, blurred vision, slow wound healing","Diabetic ketoacidosis, severe hypoglycemia, altered consciousness, rapid breathing","Fasting blood glucose, HbA1c, oral glucose tolerance test, random blood glucose","Healthy diet, regular exercise, weight management, oral antidiabetic drugs, insulin therapy","Heart disease, kidney disease, nerve damage, diabetic retinopathy, foot ulcers","Healthy lifestyle, balanced diet, regular exercise, maintaining healthy weight","ADA Standards of Care 2026; WHO SEARO Diabetes Protocol 2020","2026-07-21"
Stroke,Neurology,"Stroke is a medical emergency caused by interruption of blood supply to the brain or bleeding within the brain, leading to brain cell damage.","Blocked artery (ischemic stroke), ruptured blood vessel (hemorrhagic stroke), blood clots","Hypertension, diabetes, smoking, obesity, high cholesterol, atrial fibrillation, advanced age","Sudden weakness or numbness on one side, facial drooping, difficulty speaking, vision problems, dizziness, severe headache","Sudden paralysis, loss of consciousness, seizures, difficulty breathing, severe headache","Neurological examination, CT scan, MRI, blood tests, ECG, carotid ultrasound","Immediate emergency care, thrombolytic therapy, thrombectomy (when eligible), blood pressure control, rehabilitation","Permanent disability, paralysis, speech impairment, swallowing problems, recurrent stroke, death","Control blood pressure, diabetes and cholesterol, quit smoking, regular exercise, healthy diet","WHO Stroke Guideline 2012","2026-07-21"
Epilepsy,Neurology,"Epilepsy is a chronic neurological disorder characterized by recurrent, unprovoked seizures caused by abnormal electrical activity in the brain.","Genetic factors, brain injury, stroke, brain infections, congenital abnormalities, brain tumors","Family history, head injury, stroke, brain infections, developmental disorders","Recurrent seizures, temporary confusion, staring spells, muscle stiffness, loss of consciousness, involuntary jerking movements","Seizures lasting more than 5 minutes, repeated seizures without recovery, breathing difficulty, severe injury during seizure","Medical history, neurological examination, EEG, MRI, CT scan, blood tests","Anti-seizure medications, ketogenic diet in selected patients, vagus nerve stimulation, epilepsy surgery for selected cases","Status epilepticus, injuries, cognitive impairment, depression, sudden unexpected death in epilepsy (SUDEP)","Take medications regularly, avoid seizure triggers, adequate sleep, avoid alcohol misuse, regular follow-up","NICE Epilepsy Guideline 2022","2026-07-21"
Tuberculosis,Infectious_Diseases,"Tuberculosis (TB) is a contagious bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but capable of involving other organs.","Mycobacterium tuberculosis infection transmitted through airborne droplets","Close contact with infected individuals, HIV infection, diabetes, malnutrition, smoking, weakened immune system","Persistent cough for more than two weeks, fever, night sweats, weight loss, fatigue, chest pain, coughing up blood","Severe breathing difficulty, massive coughing of blood, altered consciousness, respiratory failure","Chest X-ray, sputum smear microscopy, GeneXpert MTB/RIF, culture, tuberculin skin test","Combination anti-tuberculosis therapy (HRZE regimen), nutritional support, regular follow-up","Drug-resistant TB, lung damage, meningitis, pleural effusion, death if untreated","BCG vaccination, early diagnosis and treatment, infection control measures, good ventilation","WHO Global Tuberculosis Report 2025","2026-07-21"
Eczema,Dermatology,"Eczema, also known as atopic dermatitis, is a chronic inflammatory skin condition that causes itchy, dry, and inflamed skin.","Genetic predisposition, immune system dysfunction, environmental triggers, allergens","Family history of eczema, asthma, allergies, dry skin, exposure to irritants","Itching, dry skin, redness, skin rash, cracked skin, swelling","Severe skin infection, widespread rash with fever, intense swelling, difficulty breathing due to allergic reaction","Clinical examination, medical history, allergy testing if required","Regular use of moisturizers, topical corticosteroids, antihistamines, avoiding triggers","Skin infections, sleep disturbances, chronic skin thickening","Daily moisturizing, avoiding irritants, gentle skin care, managing allergies","NICE Eczema Guideline 2025","2026-07-21"
Skin Disease,Dermatology,"Skin diseases are conditions that affect the skin, hair, or nails and may be caused by infections, inflammation, autoimmune disorders, allergies, or environmental factors.","Bacterial, viral or fungal infections, autoimmune disorders, allergic reactions, genetic conditions, environmental exposure","Poor hygiene, allergies, weakened immune system, family history, excessive sun exposure","Rashes, itching, redness, swelling, dry skin, blisters, scaling, skin discoloration","Rapidly spreading rash, severe skin infection, high fever, extensive blistering, difficulty breathing due to allergic reaction","Clinical examination, skin biopsy, laboratory tests, allergy testing, dermoscopy","Topical medications, oral medicines, antibiotics or antifungals when indicated, phototherapy, skin care","Secondary infections, scarring, chronic inflammation, pigmentation changes","Good hygiene, skin protection, avoiding allergens, sun protection, early treatment","WHO Skin Disease Guideline 2025","2026-07-21"
Emergency Care,Emergency,"Emergency medical care involves the immediate assessment and treatment of life-threatening illnesses and injuries to stabilize patients and prevent further complications.","Trauma, cardiac arrest, stroke, severe infections, poisoning, accidents, burns","Road traffic accidents, chronic diseases, advanced age, delayed medical care, occupational hazards","Severe chest pain, difficulty breathing, uncontrolled bleeding, unconsciousness, severe burns, seizures","Cardiac arrest, respiratory failure, severe bleeding, shock, unconsciousness, anaphylaxis","Primary survey (ABCDE), physical examination, ECG, imaging, laboratory tests, vital signs assessment","Immediate stabilization, airway management, oxygen therapy, IV fluids, emergency medications, surgery if required","Organ failure, permanent disability, infection, death","Road safety, early recognition of emergencies, first aid training, preventive healthcare","WHO Emergency Triage Guideline 2023; NICE Emergency Care Guideline 2018","2026-07-21"
Chronic Obstructive Pulmonary Disease (COPD),Pulmonology,"COPD is a progressive lung disease characterized by persistent airflow limitation, most commonly caused by long-term exposure to harmful particles or gases.","Cigarette smoking, air pollution, occupational dust, biomass fuel exposure, genetic factors","Smoking, exposure to pollutants, older age, alpha-1 antitrypsin deficiency","Chronic cough, sputum production, shortness of breath, wheezing, chest tightness","Severe breathlessness, bluish lips, confusion, inability to speak due to breathlessness","Spirometry, chest X-ray, CT scan, arterial blood gas analysis","Smoking cessation, bronchodilators, inhaled corticosteroids, pulmonary rehabilitation, oxygen therapy","Respiratory failure, pulmonary hypertension, recurrent infections, heart disease","Avoid smoking, reduce pollution exposure, vaccinations, regular exercise","GOLD COPD Guideline 2023","2026-07-21"
Asthma,Pulmonology,"Asthma is a chronic inflammatory disease of the airways that causes recurrent episodes of wheezing, breathlessness, chest tightness, and coughing.","Genetic predisposition, allergies, respiratory infections, environmental triggers","Family history, allergies, obesity, smoking exposure, air pollution","Wheezing, cough, shortness of breath, chest tightness, nighttime coughing","Severe asthma attack, inability to speak, bluish lips, confusion, respiratory distress","Medical history, physical examination, spirometry, peak flow measurement","Inhaled bronchodilators, inhaled corticosteroids, avoiding triggers, asthma action plan","Respiratory failure, frequent hospitalizations, reduced quality of life","Avoid allergens, avoid smoking, vaccination, regular follow-up","Iraq Ministry of Health Asthma Guideline 2013","2026-07-21"