Question,Expected_Source,Disease,Specialty,Difficulty
What are the symptoms of seborrheic dermatitis?,WHO,Seborrheic Dermatitis,Dermatology,Easy
How is seborrheic dermatitis managed?,WHO,Seborrheic Dermatitis,Dermatology,Medium
What causes dandruff?,WHO,Seborrheic Dermatitis,Dermatology,Easy
When should dandruff be evaluated by a doctor?,WHO,Seborrheic Dermatitis,Dermatology,Medium
What is fungal nail infection?,WHO,Fungal Nail Infection,Dermatology,Easy
How is fungal nail infection diagnosed?,WHO,Fungal Nail Infection,Dermatology,Medium
How is fungal nail infection treated?,WHO,Fungal Nail Infection,Dermatology,Medium
Can fungal nail infection be prevented?,WHO,Fungal Nail Infection,Dermatology,Easy
When should nail infections be evaluated by a dermatologist?,WHO,Fungal Nail Infection,Dermatology,Hard
What is alopecia areata?,WHO,Alopecia Areata,Dermatology,Easy
What causes alopecia areata?,WHO,Alopecia Areata,Dermatology,Medium
Can alopecia areata be treated?,WHO,Alopecia Areata,Dermatology,Medium
Is hair loss always permanent?,WHO,Alopecia Areata,Dermatology,Easy
When should hair loss be evaluated by a doctor?,WHO,Alopecia Areata,Dermatology,Medium
What is melasma?,WHO,Melasma,Dermatology,Easy
What causes melasma?,WHO,Melasma,Dermatology,Medium
How is melasma treated?,WHO,Melasma,Dermatology,Medium
Can melasma be prevented from worsening?,WHO,Melasma,Dermatology,Easy
Does sunscreen help prevent melasma?,WHO,Melasma,Dermatology,Easy
What are warts?,WHO,Warts,Dermatology,Easy
What causes warts?,WHO,Warts,Dermatology,Easy
How are warts treated?,WHO,Warts,Dermatology,Medium
Can warts spread to other people?,WHO,Warts,Dermatology,Easy
How can warts be prevented?,WHO,Warts,Dermatology,Easy
What are skin tags?,WHO,Skin Tags,Dermatology,Easy
Do skin tags require treatment?,WHO,Skin Tags,Dermatology,Easy
When should a skin growth be evaluated by a dermatologist?,WHO,Skin Lesions,Dermatology,Hard
What are the warning signs of skin cancer?,WHO,Skin Cancer,Dermatology,Hard
How can skin cancer risk be reduced?,WHO,Skin Cancer,Dermatology,Medium
What is sunburn?,WHO,Sunburn,Dermatology,Easy
What causes sunburn?,WHO,Sunburn,Dermatology,Easy
How should sunburn be treated?,WHO,Sunburn,Dermatology,Medium
How can sunburn be prevented?,WHO,Sunburn,Dermatology,Easy
When should sunburn require medical attention?,WHO,Sunburn,Dermatology,Hard
What is heat rash?,WHO,Heat Rash,Dermatology,Easy
What causes heat rash?,WHO,Heat Rash,Dermatology,Easy
How is heat rash treated?,WHO,Heat Rash,Dermatology,Easy
How can heat rash be prevented?,WHO,Heat Rash,Dermatology,Easy
When should heat rash be evaluated by a doctor?,WHO,Heat Rash,Dermatology,Medium
What is a pressure ulcer?,WHO,Pressure Ulcer,Dermatology,Easy
How can pressure ulcers be prevented?,WHO,Pressure Ulcer,Dermatology,Medium
How are pressure ulcers treated?,WHO,Pressure Ulcer,Dermatology,Hard
Who is at risk of developing pressure ulcers?,WHO,Pressure Ulcer,Dermatology,Medium
What are the stages of pressure ulcers?,WHO,Pressure Ulcer,Dermatology,Hard
What is athlete's foot?,WHO,Athlete's Foot,Dermatology,Easy
How is athlete's foot transmitted?,WHO,Athlete's Foot,Dermatology,Easy
What are the symptoms of athlete's foot?,WHO,Athlete's Foot,Dermatology,Easy
How is athlete's foot treated?,WHO,Athlete's Foot,Dermatology,Medium
How can athlete's foot be prevented?,WHO,Athlete's Foot,Dermatology,Easy
What is a boil?,WHO,Boils,Dermatology,Easy
What causes boils?,WHO,Boils,Dermatology,Easy
How are boils treated?,WHO,Boils,Dermatology,Medium
When should a boil be evaluated by a doctor?,WHO,Boils,Dermatology,Medium
How can boils be prevented?,WHO,Boils,Dermatology,Easy
What is shingles?,WHO,Shingles,Dermatology,Easy
What causes shingles?,WHO,Shingles,Dermatology,Medium
What are the symptoms of shingles?,WHO,Shingles,Dermatology,Easy
How is shingles treated?,WHO,Shingles,Dermatology,Medium
Can shingles be prevented?,WHO,Shingles,Dermatology,Medium
What is a cold sore?,WHO,Cold Sores,Dermatology,Easy
What causes cold sores?,WHO,Cold Sores,Dermatology,Easy
How are cold sores treated?,WHO,Cold Sores,Dermatology,Medium
How can cold sores be prevented from spreading?,WHO,Cold Sores,Dermatology,Medium
When should cold sores be evaluated by a doctor?,WHO,Cold Sores,Dermatology,Hard
What is hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
What are the symptoms of hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
How is hidradenitis suppurativa treated?,WHO,Hidradenitis Suppurativa,Dermatology,Hard
What lifestyle changes help manage hidradenitis suppurativa?,WHO,Hidradenitis Suppurativa,Dermatology,Medium
When should hidradenitis suppurativa be referred to a specialist?,WHO,Hidradenitis Suppurativa,Dermatology,Hard
What is eczema herpeticum?,NICE,Eczema Herpeticum,Dermatology,Hard
What are the symptoms of eczema herpeticum?,NICE,Eczema Herpeticum,Dermatology,Hard
How is eczema herpeticum treated?,NICE,Eczema Herpeticum,Dermatology,Hard
When should eczema herpeticum be considered an emergency?,NICE,Eczema Herpeticum,Dermatology,Hard
What is lichen planus?,WHO,Lichen Planus,Dermatology,Medium
What are the symptoms of lichen planus?,WHO,Lichen Planus,Dermatology,Medium
How is lichen planus diagnosed?,WHO,Lichen Planus,Dermatology,Medium
How is lichen planus treated?,WHO,Lichen Planus,Dermatology,Hard
What is pityriasis rosea?,WHO,Pityriasis Rosea,Dermatology,Easy
What are the symptoms of pityriasis rosea?,WHO,Pityriasis Rosea,Dermatology,Easy
How is pityriasis rosea managed?,WHO,Pityriasis Rosea,Dermatology,Medium
What is molluscum contagiosum?,WHO,Molluscum Contagiosum,Dermatology,Easy
How does molluscum contagiosum spread?,WHO,Molluscum Contagiosum,Dermatology,Medium
How is molluscum contagiosum treated?,WHO,Molluscum Contagiosum,Dermatology,Medium
What is keratosis pilaris?,WHO,Keratosis Pilaris,Dermatology,Easy
How is keratosis pilaris managed?,WHO,Keratosis Pilaris,Dermatology,Medium
What is sebaceous cyst?,WHO,Sebaceous Cyst,Dermatology,Easy
When should a sebaceous cyst be removed?,WHO,Sebaceous Cyst,Dermatology,Medium
How can common skin infections be prevented?,WHO,Skin Infection,Dermatology,Easy
When should persistent skin lesions be evaluated by a dermatologist?,WHO,Skin Lesion,Dermatology,Hard
What are the common causes of chest pain?,WHO,Chest Pain,Emergency,Medium
How should chest pain be evaluated in the emergency department?,WHO,Chest Pain,Emergency,Hard
What symptoms suggest an acute myocardial infarction?,WHO,Heart Attack,Cardiology,Hard
What are the warning signs of stroke?,WHO,Stroke,Neurology,Medium
How should a suspected stroke patient be managed initially?,WHO,Stroke,Neurology,Hard
What are the symptoms of diabetic ketoacidosis?,ADA,Diabetic Ketoacidosis,Endocrinology,Hard
How is diabetic ketoacidosis treated?,ADA,Diabetic Ketoacidosis,Endocrinology,Hard
What are the symptoms of severe hypoglycemia?,ADA,Hypoglycemia,Endocrinology,Medium
When should insulin therapy be adjusted?,ADA,Diabetes,Endocrinology,Hard
What are the symptoms of severe asthma exacerbation?,GOLD,Asthma,Respiratory,Hard
How should acute asthma exacerbation be managed?,GOLD,Asthma,Respiratory,Hard
What are the symptoms of COPD exacerbation?,GOLD,COPD,Respiratory,Medium
How is COPD exacerbation treated?,GOLD,COPD,Respiratory,Hard
What are the symptoms of bacterial pneumonia?,WHO,Pneumonia,Respiratory,Medium
How is community-acquired pneumonia treated?,WHO,Pneumonia,Respiratory,Hard
What are the danger signs of dehydration in children?,WHO,Dehydration,Pediatrics,Medium
How should dehydration in children be treated?,WHO,Dehydration,Pediatrics,Hard
What are the symptoms of meningitis in children?,WHO,Meningitis,Pediatrics,Hard
When should a child with fever be referred urgently?,NICE,Fever,Pediatrics,Hard
What are the warning signs of sepsis in adults?,WHO,Sepsis,Emergency,Hard
What are the symptoms of septic shock?,WHO,Septic Shock,Emergency,Hard
How is septic shock managed?,WHO,Septic Shock,Emergency,Hard
What are the symptoms of anaphylactic shock?,WHO,Anaphylaxis,Emergency,Hard
What is the first-line treatment for anaphylaxis?,WHO,Anaphylaxis,Emergency,Hard
What are the symptoms of pulmonary embolism?,WHO,Pulmonary Embolism,Respiratory,Hard
How is pulmonary embolism diagnosed?,WHO,Pulmonary Embolism,Respiratory,Hard
What are the symptoms of deep vein thrombosis?,WHO,Deep Vein Thrombosis,Cardiology,Medium
How is deep vein thrombosis treated?,WHO,Deep Vein Thrombosis,Cardiology,Hard
What are the symptoms of acute kidney injury?,WHO,Acute Kidney Injury,Nephrology,Medium
How is acute kidney injury managed initially?,WHO,Acute Kidney Injury,Nephrology,Hard
What are the symptoms of chronic kidney disease?,WHO,Chronic Kidney Disease,Nephrology,Medium
How is chronic kidney disease diagnosed?,WHO,Chronic Kidney Disease,Nephrology,Medium
What are the complications of uncontrolled hypertension?,WHO,Hypertension,Cardiology,Medium
What lifestyle changes reduce cardiovascular risk?,WHO,Cardiovascular Disease,Cardiology,Easy
What are the symptoms of heart valve disease?,WHO,Heart Valve Disease,Cardiology,Medium
How is heart valve disease diagnosed?,WHO,Heart Valve Disease,Cardiology,Hard
What are the symptoms of myocarditis?,WHO,Myocarditis,Cardiology,Hard
How is myocarditis treated?,WHO,Myocarditis,Cardiology,Hard
What are the symptoms of pericarditis?,WHO,Pericarditis,Cardiology,Medium
How is pericarditis managed?,WHO,Pericarditis,Cardiology,Hard
What are the symptoms of epilepsy?,WHO,Epilepsy,Neurology,Easy
How is epilepsy diagnosed?,WHO,Epilepsy,Neurology,Medium
What medications are commonly used for epilepsy?,WHO,Epilepsy,Neurology,Hard
What should be done during a seizure?,WHO,Epilepsy,Neurology,Medium
When should emergency care be sought for a seizure?,WHO,Epilepsy,Neurology,Hard
What is Parkinson's disease?,WHO,Parkinson's Disease,Neurology,Easy
What are the early symptoms of Parkinson's disease?,WHO,Parkinson's Disease,Neurology,Medium
How is Parkinson's disease treated?,WHO,Parkinson's Disease,Neurology,Hard
What is Alzheimer's disease?,WHO,Alzheimer's Disease,Neurology,Easy
What are the early symptoms of Alzheimer's disease?,WHO,Alzheimer's Disease,Neurology,Medium
How is Alzheimer's disease diagnosed?,WHO,Alzheimer's Disease,Neurology,Medium
How is Alzheimer's disease managed?,WHO,Alzheimer's Disease,Neurology,Hard
What is migraine?,WHO,Migraine,Neurology,Easy
What are the common triggers of migraine?,WHO,Migraine,Neurology,Medium
How is migraine treated?,WHO,Migraine,Neurology,Medium
What are the warning signs of meningitis?,WHO,Meningitis,Neurology,Hard
How is bacterial meningitis treated?,WHO,Meningitis,Neurology,Hard
What is Bell's palsy?,WHO,Bell's Palsy,Neurology,Easy
How is Bell's palsy treated?,WHO,Bell's Palsy,Neurology,Medium
When should facial weakness be treated as a medical emergency?,WHO,Stroke,Neurology,Hard
What is neonatal jaundice?,WHO,Neonatal Jaundice,Pediatrics,Easy
What are the common causes of neonatal jaundice?,WHO,Neonatal Jaundice,Pediatrics,Medium
How is neonatal jaundice treated?,WHO,Neonatal Jaundice,Pediatrics,Medium
What are the danger signs in newborns?,WHO,Newborn Care,Pediatrics,Hard
What is bronchiolitis?,WHO,Bronchiolitis,Pediatrics,Easy
What are the symptoms of bronchiolitis?,WHO,Bronchiolitis,Pediatrics,Medium
How is bronchiolitis treated?,WHO,Bronchiolitis,Pediatrics,Medium
What is croup?,WHO,Croup,Pediatrics,Easy
What are the symptoms of croup?,WHO,Croup,Pediatrics,Medium
How is croup managed?,WHO,Croup,Pediatrics,Hard
What are the common causes of fever in children?,WHO,Fever,Pediatrics,Easy
How should fever in children be managed?,NICE,Fever,Pediatrics,Medium
When should a child with fever be taken to the hospital?,NICE,Fever,Pediatrics,Hard
What are the symptoms of dehydration in children?,WHO,Dehydration,Pediatrics,Medium
How is dehydration in children treated?,WHO,Dehydration,Pediatrics,Hard
What are the recommended childhood immunizations?,WHO,Immunization,Pediatrics,Easy
Why are childhood vaccines important?,WHO,Immunization,Pediatrics,Easy
What is measles in children?,WHO,Measles,Pediatrics,Easy
How can measles be prevented in children?,WHO,Measles,Pediatrics,Medium
When should parents seek emergency care for a sick child?,WHO,Emergency Care,Pediatrics,Hard
What is asthma?,GOLD,Asthma,Respiratory,Easy
What are the common symptoms of asthma?,GOLD,Asthma,Respiratory,Easy
What triggers asthma attacks?,GOLD,Asthma,Respiratory,Medium
How is asthma diagnosed?,GOLD,Asthma,Respiratory,Medium
How is asthma treated?,GOLD,Asthma,Respiratory,Hard
What is chronic obstructive pulmonary disease (COPD)?,GOLD,COPD,Respiratory,Easy
What are the symptoms of COPD?,GOLD,COPD,Respiratory,Easy
How is COPD diagnosed?,GOLD,COPD,Respiratory,Medium
How is COPD treated?,GOLD,COPD,Respiratory,Hard
What lifestyle changes help manage COPD?,GOLD,COPD,Respiratory,Medium
What is pneumonia?,WHO,Pneumonia,Respiratory,Easy
What are the symptoms of pneumonia?,WHO,Pneumonia,Respiratory,Easy
How is pneumonia diagnosed?,WHO,Pneumonia,Respiratory,Medium
How is pneumonia treated?,WHO,Pneumonia,Respiratory,Hard
How can pneumonia be prevented?,WHO,Pneumonia,Respiratory,Easy
What is acute bronchitis?,WHO,Bronchitis,Respiratory,Easy
What are the symptoms of acute bronchitis?,WHO,Bronchitis,Respiratory,Easy
How is acute bronchitis treated?,WHO,Bronchitis,Respiratory,Medium
What are the symptoms of respiratory failure?,WHO,Respiratory Failure,Respiratory,Hard
When should a patient with breathing difficulty seek emergency care?,WHO,Respiratory Emergency,Respiratory,Hard
What are the common symptoms of anemia?,WHO,Anemia,Hematology,Easy
How is anemia diagnosed?,WHO,Anemia,Hematology,Medium
What are the common causes of iron deficiency anemia?,WHO,Iron Deficiency Anemia,Hematology,Medium
How is iron deficiency anemia treated?,WHO,Iron Deficiency Anemia,Hematology,Medium
What is sickle cell disease?,WHO,Sickle Cell Disease,Hematology,Easy
What are the symptoms of sickle cell disease?,WHO,Sickle Cell Disease,Hematology,Medium
How is sickle cell disease managed?,WHO,Sickle Cell Disease,Hematology,Hard
What are the warning signs of severe allergic reactions?,WHO,Anaphylaxis,Emergency,Hard
How should an unconscious patient be assessed initially?,WHO,Emergency Assessment,Emergency,Hard
What are the common causes of abdominal pain?,WHO,Abdominal Pain,Emergency,Medium
When should abdominal pain be considered a medical emergency?,WHO,Abdominal Pain,Emergency,Hard
What are the symptoms of appendicitis?,WHO,Appendicitis,Emergency,Medium
How is appendicitis diagnosed?,WHO,Appendicitis,Emergency,Hard
What are the symptoms of dehydration in adults?,WHO,Dehydration,Emergency,Medium
How should dehydration in adults be treated?,WHO,Dehydration,Emergency,Medium
What are the symptoms of food poisoning?,WHO,Food Poisoning,Infectious Diseases,Easy
How is food poisoning treated?,WHO,Food Poisoning,Infectious Diseases,Medium
When should a patient with food poisoning seek emergency care?,WHO,Food Poisoning,Infectious Diseases,Hard
What are the principles of evidence-based clinical decision making?,WHO,Clinical Decision Making,General Medicine,Hard
How should trusted medical guidelines be selected for patient care?,WHO,Clinical Guidelines,General Medicine,Hard
What are the symptoms of dehydration in older adults?,WHO,Dehydration,Geriatrics,Medium
How is dehydration prevented in older adults?,WHO,Dehydration,Geriatrics,Medium
What are the symptoms of osteoporosis?,WHO,Osteoporosis,Orthopedics,Easy
How is osteoporosis diagnosed?,WHO,Osteoporosis,Orthopedics,Medium
How is osteoporosis treated?,WHO,Osteoporosis,Orthopedics,Medium
What lifestyle changes help prevent osteoporosis?,WHO,Osteoporosis,Orthopedics,Easy
What are the symptoms of osteoarthritis?,WHO,Osteoarthritis,Orthopedics,Easy
How is osteoarthritis managed?,WHO,Osteoarthritis,Orthopedics,Medium
What are the symptoms of rheumatoid arthritis?,WHO,Rheumatoid Arthritis,Rheumatology,Medium
How is rheumatoid arthritis diagnosed?,WHO,Rheumatoid Arthritis,Rheumatology,Hard
How is rheumatoid arthritis treated?,WHO,Rheumatoid Arthritis,Rheumatology,Hard
What are the symptoms of gout?,WHO,Gout,Rheumatology,Easy
How is gout treated?,WHO,Gout,Rheumatology,Medium
What foods increase the risk of gout?,WHO,Gout,Rheumatology,Medium
What are the symptoms of urinary tract infection?,WHO,Urinary Tract Infection,Urology,Easy
How is urinary tract infection diagnosed?,WHO,Urinary Tract Infection,Urology,Medium
How is urinary tract infection treated?,WHO,Urinary Tract Infection,Urology,Medium
What are the symptoms of kidney stones?,WHO,Kidney Stones,Urology,Medium
How are kidney stones diagnosed?,WHO,Kidney Stones,Urology,Medium
How can kidney stones be prevented?,WHO,Kidney Stones,Urology,Easy
What is gastroesophageal reflux disease (GERD)?,WHO,GERD,Gastroenterology,Easy
What are the symptoms of GERD?,WHO,GERD,Gastroenterology,Easy
How is GERD diagnosed?,WHO,GERD,Gastroenterology,Medium
How is GERD treated?,WHO,GERD,Gastroenterology,Medium
What lifestyle changes help manage GERD?,WHO,GERD,Gastroenterology,Easy
What is peptic ulcer disease?,WHO,Peptic Ulcer,Gastroenterology,Easy
What are the symptoms of peptic ulcer disease?,WHO,Peptic Ulcer,Gastroenterology,Medium
How is peptic ulcer disease diagnosed?,WHO,Peptic Ulcer,Gastroenterology,Medium
How is peptic ulcer disease treated?,WHO,Peptic Ulcer,Gastroenterology,Hard
What causes peptic ulcers?,WHO,Peptic Ulcer,Gastroenterology,Medium
What is irritable bowel syndrome (IBS)?,WHO,IBS,Gastroenterology,Easy
What are the symptoms of irritable bowel syndrome?,WHO,IBS,Gastroenterology,Medium
How is irritable bowel syndrome managed?,WHO,IBS,Gastroenterology,Medium
What is constipation?,WHO,Constipation,Gastroenterology,Easy
How can constipation be prevented?,WHO,Constipation,Gastroenterology,Easy
What are the symptoms of acute pancreatitis?,WHO,Pancreatitis,Gastroenterology,Hard
How is acute pancreatitis treated?,WHO,Pancreatitis,Gastroenterology,Hard
What are the symptoms of liver cirrhosis?,WHO,Liver Cirrhosis,Gastroenterology,Medium
How is liver cirrhosis diagnosed?,WHO,Liver Cirrhosis,Gastroenterology,Hard
How can chronic liver disease be prevented?,WHO,Liver Disease,Gastroenterology,Medium
What is chronic kidney disease?,WHO,Chronic Kidney Disease,Nephrology,Easy
What are the early symptoms of chronic kidney disease?,WHO,Chronic Kidney Disease,Nephrology,Medium
How is chronic kidney disease diagnosed?,WHO,Chronic Kidney Disease,Nephrology,Medium
How is chronic kidney disease treated?,WHO,Chronic Kidney Disease,Nephrology,Hard
What are the risk factors for chronic kidney disease?,WHO,Chronic Kidney Disease,Nephrology,Medium
What is acute kidney injury?,WHO,Acute Kidney Injury,Nephrology,Easy
What are the symptoms of acute kidney injury?,WHO,Acute Kidney Injury,Nephrology,Medium
How is acute kidney injury diagnosed?,WHO,Acute Kidney Injury,Nephrology,Medium
How is acute kidney injury treated?,WHO,Acute Kidney Injury,Nephrology,Hard
How can kidney disease be prevented?,WHO,Kidney Disease,Nephrology,Easy
What is dialysis?,WHO,Kidney Failure,Nephrology,Easy
When is dialysis recommended?,WHO,Kidney Failure,Nephrology,Hard
What is nephrotic syndrome?,WHO,Nephrotic Syndrome,Nephrology,Medium
What are the symptoms of nephrotic syndrome?,WHO,Nephrotic Syndrome,Nephrology,Medium
How is nephrotic syndrome treated?,WHO,Nephrotic Syndrome,Nephrology,Hard
What are the symptoms of glomerulonephritis?,WHO,Glomerulonephritis,Nephrology,Medium
How is glomerulonephritis diagnosed?,WHO,Glomerulonephritis,Nephrology,Hard
How is glomerulonephritis treated?,WHO,Glomerulonephritis,Nephrology,Hard
What lifestyle changes support kidney health?,WHO,Kidney Health,Nephrology,Easy
How can high blood pressure affect kidney function?,WHO,Hypertension,Nephrology,Medium
What is preventive healthcare?,WHO,Preventive Medicine,General Medicine,Easy
Why are regular health check-ups important?,WHO,Preventive Medicine,General Medicine,Easy
What are the benefits of routine vaccination?,WHO,Vaccination,Preventive Medicine,Easy
How can lifestyle changes reduce chronic disease risk?,WHO,Preventive Medicine,General Medicine,Medium
What are the components of a healthy diet?,WHO,Nutrition,Preventive Medicine,Easy
How much physical activity is recommended for adults?,WHO,Physical Activity,Preventive Medicine,Easy
Why is smoking cessation important for overall health?,WHO,Smoking Cessation,Preventive Medicine,Medium
How does excessive alcohol consumption affect health?,WHO,Alcohol Use,Preventive Medicine,Medium
How can obesity be prevented?,WHO,Obesity,Preventive Medicine,Medium
What is body mass index (BMI) and how is it used?,WHO,Obesity,Preventive Medicine,Easy
Why is adequate sleep important for health?,WHO,Sleep Health,Preventive Medicine,Easy
How can stress affect physical health?,WHO,Stress Management,General Medicine,Medium
What are the warning signs that require immediate medical attention?,WHO,Emergency Warning Signs,General Medicine,Hard
How should medications be stored safely at home?,WHO,Medication Safety,General Medicine,Easy
Why is medication adherence important?,WHO,Medication Safety,General Medicine,Medium
What are the principles of infection prevention in healthcare settings?,WHO,Infection Prevention,General Medicine,Medium
How should hand hygiene be performed correctly?,WHO,Hand Hygiene,General Medicine,Easy
When should patients seek a second medical opinion?,WHO,Patient Safety,General Medicine,Medium
How should chronic diseases be monitored over time?,WHO,Chronic Disease Management,General Medicine,Medium
How should evidence-based medical guidelines be applied in clinical practice?,WHO,Evidence-Based Medicine,General Medicine,Hard