Title,Disease,Speciality,Language,Version,Publication_Year,Organization,Path
Guideline for the pharmacological treatment of hypertension,Hypertension,Cardiology,English,2021,2021,WHO,knowledge_base/Cardiology/WHO_Hypertension_2021.pdf
CVD ASSESS implementation manual,Cardiovascular Disease,Cardiology,English,2021,2021,WHO,knowledge_base/Cardiology/WHO_CVD_Assess_Manual_2021.pdf
Hypertension in adults: diagnosis and management,Hypertension,Cardiology,English,2019,2019,NICE,knowledge_base/Cardiology/NICE_Hypertension_Management_2019.pdf
Atopic eczema in under 12s: diagnosis and management,Eczema,Dermatology,English,2025,2025,NICE,knowledge_base/Dermatology/NICE_Eczema_Guideline_2025.pdf
Skin diseases as a global public health priority,Skin Disease,Dermatology,English,2025,2025,WHO,knowledge_base/Dermatology/WHO_Skin_Disease_Guideline_2025.pdf
Emergency and acute medical care in over 16s,Emergency Care,Emergency,English,2018,2018,NICE,knowledge_base/Emergency/NICE_Emergency_Care_2018.pdf
Triage and treatment in the emergency unit,Emergency Triage,Emergency,English,2023,2023,WHO,knowledge_base/Emergency/WHO_Emergency_Triage_2023.pdf
Standards of Care in Diabetes 2026,Diabetes,Endocrinology,English,2026,2026,ADA,knowledge_base/Endocrinology/ADA_Diabetes_Standards_2026.pdf
India diabetes mellitus management protocol,Diabetes,Endocrinology,English,2020,2020,WHO SEARO,knowledge_base/Endocrinology/WHO_SEARO_Diabetes_Protocol_2020.pdf
2007 Guideline for Isolation Precautions,Infection Control,Infectious_Diseases,English,2007,2007,CDC,knowledge_base/Infectious_Diseases/CDC_Isolation_Precautions_2007.pdf
Global Tuberculosis Report 2025,Tuberculosis,Infectious_Diseases,English,2025,2025,WHO,knowledge_base/Infectious_Diseases/WHO_Tuberculosis_Report_2025.pdf
NICE Epilepsy Guideline,Epilepsy,Neurology,English,2022,2022,NICE,knowledge_base/Neurology/NICE_Epilepsy_Guideline_2022.pdf
Guidelines for Management of Stroke,Stroke,Neurology,English,2012,2012,Ministry of Health Mongolia,knowledge_base/Neurology/WHO_Stroke_Guideline_2012.pdf
Fever in under 5s: assessment and initial management,Fever,Pediatrics,English,2019,2019,NICE,knowledge_base/Pediatrics/NICE_Pediatric_Fever_Guideline_2019.pdf
Pocket Book of Hospital Care for Children (Second Edition),Child Health,Pediatrics,English,2013,2013,WHO,knowledge_base/Pediatrics/WHO_Child_Health_Guideline_2013.pdf
Global Strategy for the Diagnosis, Management and Prevention of COPD,COPD,Respiratory,English,2023,2023,GOLD,knowledge_base/Respiratory/GOLD_COPD_Guideline_2023.pdf
Diagnosis and Management of Asthma,Asthma,Respiratory,English,2013,2013,Iraq Ministry of Health,knowledge_base/Respiratory/Iraq_Asthma_Guideline_2013.pdf